Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Up,-0.3146462524730145,-1.5111362431132935,0.0,0.017524281876420748,0.099,55/158,19.87%,SLC6A8;IGFBP2;PRKACA;HYAL2;PSMC3;WIZ;PRKCD;CDC34;CCNE1;STK25;ALDOA;CDKN1C;POLR2H;CNP;DNAJB1;AQP3;RFC4;STIP1;JUNB;SIGMAR1;BSG;DNAJA1;ACAA1;NR4A1;DGAT1;FKBP4;ENO2;TST;MSX1;CLCN2;SQSTM1;SLC6A12;CDK2;H2AX;TFRC;MRPL23;YKT6;NPTXR;KLHDC3;KCNH2;CDO1;ICAM1;DLG4;ATP6V1F;E2F5;ATP6V1C1;EIF5;AP2S1;EPCAM;BTG3;RET;CCK;MARK2;AMD1;GGH
prerank,TNF-alpha Signaling via NF-kB,0.33194829679863497,1.4950869455671814,0.001443001443001443,0.016297608503100088,0.24,64/200,21.48%,PDE4B;DUSP4;PDLIM5;PTPRE;RCAN1;TNC;TANK;PTGS2;DUSP5;GPR183;OLR1;TNFSF9;KYNU;CCND1;PHLDA1;MSC;IL6ST;KLF9;BMP2;IL1B;PTGER4;CSF2;IL18;SERPINB8;TRIP10;DDX58;KDM6B;SLC2A3;DRAM1;PMEPA1;ABCA1;GADD45A;INHBA;CXCL2;TNFAIP6;GEM;TNFRSF9;CD44;NAMPT;BIRC3;PLAU;TAP1;CD83;TLR2;CCL4;F3;ATF3;MAP3K8;EGR2;PLPP3;IFIT2;PFKFB3;CFLAR;CCL5;EDN1;VEGFA;IL7R;PLEK;CXCL3;IL1A;CCN1;DNAJB4;ZBTB10;CXCL6
prerank,TGF-beta Signaling,0.4022961791920367,1.4857302914793107,0.025954198473282442,0.01644944957611034,0.26,20/54,21.51%,BCAR3;WWTR1;TGFBR1;RAB31;SMURF2;BMP2;NOG;TJP1;PMEPA1;APC;XIAP;THBS1;UBE2D3;PPM1A;BMPR2;SLC20A1;SMAD1;CTNNB1;SMAD6;SMURF1
prerank,Estrogen Response Late,-0.29815329341903074,-1.483834577494149,0.0037735849056603774,0.020979541227526346,0.13,60/199,19.15%,CKB;CCN5;RNASEH2A;NMU;CDC20;HMGCS2;SERPINA5;KCNK5;MDK;CCNA1;TOP2A;RAPGEFL1;PLAC1;KLK11;NAB2;CACNA2D2;GPER1;NXT1;IL17RB;STIL;KIF20A;PLXNB1;GALE;KLK10;ARL3;DHRS2;MYB;DUSP2;PKP3;ASS1;EMP2;ABCA3;FKBP4;DCXR;CD9;TST;TJP3;PLAAT3;ETFB;FARP1;CA12;ST14;SEMA3B;METTL3;FRK;ASCL1;SLC2A8;OPN3;COX6C;BAG1;CXCL12;PDZK1;TRIM29;TPD52L1;FLNB;BTG3;IDH2;RET;RBBP8;SGK1
prerank,Fatty Acid Metabolism,-0.31023430969478066,-1.4669262081274141,0.0,0.022589190103139267,0.151,50/156,19.35%,NTHL1;HMGCS2;ECHS1;EHHADH;ECI1;ADH1C;GCDH;IDI1;HSD17B10;RDH16;HSP90AA1;ALDOA;FH;IDH1;UROS;HPGD;CPOX;APEX1;ECH1;HSD17B11;G0S2;ACADVL;ACAA1;GRHPR;ENO2;ODC1;AUH;PDHB;ACSM3;SDHC;HMGCS1;ACAT2;CEL;IDH3B;ACOT8;ALDH3A1;ALAD;MDH2;BPHL;ERP29;ADSL;HADHB;CBR1;H2AZ1;ACSS1;ECI2;ACADS;HMGCL;OSTC;LTC4S
prerank,PI3K/AKT/mTOR  Signaling,-0.31138682262368234,-1.41753863865813,0.017804154302670624,0.030998140111593304,0.22,38/105,22.14%,E2F1;PIN1;PRKAR2A;ECSIT;PAK4;HRAS;FGF22;RAC1;MKNK2;CDK4;NCK1;AKT1S1;TSC2;NFKBIB;MAPK1;GRK2;RIT1;DDIT3;SQSTM1;AP2M1;YWHAB;CDK2;AKT1;CALR;FGF17;PITX2;CFL1;STAT2;RIPK1;NGF;ARHGDIA;PLA2G12A;TNFRSF1A;GSK3B;PPP1CA;CDKN1B;PRKAG1;RALB
prerank,Hedgehog Signaling,0.4227681540086284,1.4131024069213383,0.061511423550087874,0.03367385099891743,0.476,18/36,25.33%,NRP2;HEY1;RTN1;CRMP1;PML;SHH;RASA1;TLE1;SCG2;PTCH1;NF1;ADGRG1;VEGFA;NRP1;CDK6;GLI1;OPHN1;CDK5R1
prerank,Spermatogenesis,-0.3056934642680027,-1.4100671819344868,0.011764705882352941,0.031703943917211125,0.242,50/132,22.52%,TKTL1;DPEP3;NEFH;PRKAR2A;MLF1;IP6K1;RPL39L;CLVS1;CCNA1;TTK;TEKT2;PGS1;PHF7;HOXB1;TALDO1;KIF2C;TNNI3;AURKA;BUB1;RFC4;VDAC3;COIL;CNIH2;JAM3;PCSK1N;DBF4;GPR182;TNP2;CLPB;PCSK4;TOPBP1;SYCP1;CHFR;TNP1;YBX2;LDHC;NEK2;CHRM4;GSTM3;TCP11;ACRBP;CLGN;PEBP1;CRISP2;PARP2;CDKN3;PGK2;TUBA3C;H1-6;SCG5
prerank,Cholesterol Homeostasis,-0.3280992845229018,-1.3502265737942873,0.04281345565749235,0.050695243999645735,0.369,20/74,13.38%,IDI1;ALDOC;FADS2;TMEM97;FBXO6;TM7SF2;ECH1;CLU;EBP;LDLR;GSTM2;ATF5;CD9;STX5;GUSB;PNRC1;HMGCS1;ACAT2;SEMA3B;PMVK
prerank,mTORC1 Signaling,-0.27708638326053947,-1.3455801167428683,0.02,0.04959702417854929,0.383,53/200,16.79%,DDX39A;RRP9;PLK1;IDI1;ATP5MC1;FADS2;TMEM97;TUBG1;ELOVL6;TM7SF2;PNO1;ALDOA;HSPA4;IDH1;MCM2;PSMC4;HSPD1;AURKA;NFKBIB;BUB1;CACYBP;STIP1;EBP;SERPINH1;FDXR;LDLR;GMPS;CCT6A;FADS1;POLR3G;CCNG1;CD9;G6PD;PRDX1;ARPC5L;PSMB5;RAB1A;RIT1;HMGCS1;DDIT3;SQSTM1;TOMM40;NFYC;TFRC;MCM4;YKT6;PPIA;HSPE1;CALR;ENO1;CCNF;PSMD13;SHMT2
